,pitcher,mean_fb_velo,mean_fb_spin,release_speed,release_spin_rate,corr_pitch_fb_release_speed,corr_pitch_fb_release_spin_rate,corr_pitch_sec_release_speed,corr_pitch_sec_release_spin_rate,corr_at_bat_fb_release_speed,corr_at_bat_fb_release_spin_rate,corr_at_bat_sec_release_speed,corr_at_bat_sec_release_spin_rate,fb_release_speed_threshold_drop,player_name,fb_release_spin_rate_threshold_drop,sec_release_speed_threshold_drop,sec_release_spin_rate_threshold_drop,role_key
988,672782,94.53999999999999,2506.0666666666666,80.04285714285713,2546.8571428571427,0.05661922890738911,0.053578222329139814,0.5125878044686738,0.12978946588840118,-0.3287696372714271,-0.012275539815880743,0.40502550145063965,0.7217217045526867,4.0,"Gómez, Yoendrys",11.0,29.0,29.0,RP
989,672839,95.17096774193547,2050.7419354838707,86.39166666666667,2243.9583333333335,0.20055207047702012,-0.27066269438817825,0.23325900498794314,-0.23887384592179967,-0.23523859217660037,0.011028956811381828,-0.1828833923942094,-0.36432421665882325,17.333333333333332,"Morales, Francisco",25.0,13.333333333333334,18.666666666666668,RP
990,672841,99.37272727272727,2197.818181818182,91.74333333333334,2361.0,0.03375857983743617,0.098752145509927,-0.1144880059319793,0.24922917092279928,-0.29382222826464116,-0.19720906667842059,0.08321949754777645,-0.07999022749698795,11.0,"Vargas, Carlos",14.5,14.8,10.2,RP
991,672851,94.8559336099585,2197.3210393964796,80.15811965811966,2324.6400862068967,0.24210637509170474,0.0024437884082518656,0.4205696775517918,0.21277194297490976,-0.2864837901229149,-0.10622656482262906,-0.24114304777432374,-0.13099506204081787,63.148148148148145,"Adon, Joan",56.81481481481482,51.26923076923077,55.69230769230769,SP
992,672860,96.5235294117647,2235.235294117647,86.1375,2441.9583333333335,0.1583644874195154,-0.04501791839103258,-0.16973976145820624,0.22204659778513436,-0.06916675633277673,-0.3607107065566008,-0.20688178136112262,0.3289780683746929,12.0,"Berroa, Prelander",12.5,7.5,4.5,RP
993,672911,94.94526315789477,2166.863157894737,87.12352941176471,2443.194029850746,0.15826823592736866,-0.04327543170637715,-0.052199033487062896,-0.09284075675230838,-0.7126763877738397,-0.1041114156067835,-0.3682757054502338,-0.13049413430080642,14.714285714285714,"Cruz, Jesus",16.285714285714285,14.857142857142858,19.714285714285715,RP
994,673111,94.31764705882354,2294.176470588235,87.75454545454545,1509.3636363636363,-0.2821154575495282,-0.4516249000373086,0.060195059094832526,0.26004643518582393,-0.722927764870818,-0.21316746320666408,-0.21129963303364951,0.43841382576375865,44.0,"Lopez, José",38.0,36.0,15.0,RP
995,673258,94.8153846153846,2365.923076923077,85.325,1658.625,-0.10909520257179584,-0.32378951597051386,0.21432161702490093,-0.24617519518264333,0.13750652383418344,0.04716342417644108,0.5034788647168573,0.9078600363210417,6.5,"Baez, Michel",12.5,11.5,11.5,RP
996,673316,90.85,2261.65625,81.78888888888889,496.22222222222223,0.10866265895609872,-0.11599218450409056,-0.03324595774422535,-0.17936854351354653,-0.4070611241111342,0.333836399520837,-0.23752944895279396,0.1559411385564642,9.0,"Barker, Luke",15.333333333333334,16.666666666666668,12.666666666666666,RP
997,673540,95.64874517374518,2283.269565217391,90.82712842712843,2498.8422575976847,0.28009959004232354,0.18759190670173984,0.2114305147433975,0.1433346168286601,-0.13806691543724142,0.054141791375745485,-0.05619613565838721,0.04643308801217261,65.89655172413794,"Senga, Kodai",57.0,60.62068965517241,50.275862068965516,SP
